id,name,kind,out_degree,in_degree
Compound::DB00014,Goserelin,Compound,10,2
Compound::DB00035,Desmopressin,Compound,10,6
Compound::DB00050,Cetrorelix,Compound,6,1
Compound::DB00091,Cyclosporine,Compound,517,0
Compound::DB00093,Felypressin,Compound,7,3
Compound::DB00104,Octreotide,Compound,11,6
Compound::DB00115,Cyanocobalamin,Compound,14,0
Compound::DB00116,Tetrahydrofolic acid,Compound,18,0
Compound::DB00117,L-Histidine,Compound,12,0
Compound::DB00118,S-Adenosylmethionine,Compound,21,0
Compound::DB00119,Pyruvic acid,Compound,17,2
Compound::DB00120,L-Phenylalanine,Compound,16,30
Compound::DB00121,Biotin,Compound,26,0
Compound::DB00122,Choline,Compound,33,1
Compound::DB00123,L-Lysine,Compound,9,10
Compound::DB00125,L-Arginine,Compound,13,7
Compound::DB00126,Vitamin C,Compound,24,0
Compound::DB00127,Spermine,Compound,14,1
Compound::DB00128,L-Aspartic Acid,Compound,26,9
Compound::DB00129,L-Ornithine,Compound,18,8
Compound::DB00130,L-Glutamine,Compound,60,1
Compound::DB00131,Adenosine monophosphate,Compound,40,1
Compound::DB00132,Alpha-Linolenic Acid,Compound,47,0
Compound::DB00133,L-Serine,Compound,24,2
Compound::DB00134,L-Methionine,Compound,25,2
Compound::DB00135,L-Tyrosine,Compound,16,3
Compound::DB00136,Calcitriol,Compound,71,0
Compound::DB00137,Xanthophyll,Compound,1,0
Compound::DB00138,L-Cystine,Compound,8,1
Compound::DB00139,Succinic acid,Compound,30,1
Compound::DB00140,Riboflavin,Compound,13,0
Compound::DB00141,N-Acetyl-D-glucosamine,Compound,8,1
Compound::DB00143,Glutathione,Compound,44,3
Compound::DB00144,Phosphatidylserine,Compound,10,0
Compound::DB00145,Glycine,Compound,32,4
Compound::DB00146,Calcidiol,Compound,10,6
Compound::DB00147,Pyridoxal,Compound,2,0
Compound::DB00148,Creatine,Compound,8,0
Compound::DB00149,L-Leucine,Compound,11,11
Compound::DB00150,L-Tryptophan,Compound,13,2
Compound::DB00151,L-Cysteine,Compound,27,6
Compound::DB00152,Thiamine,Compound,6,0
Compound::DB00153,Ergocalciferol,Compound,15,1
Compound::DB00154,Dihomo-gamma-linolenic acid,Compound,42,2
Compound::DB00155,L-Citrulline,Compound,19,5
Compound::DB00156,L-Threonine,Compound,8,3
Compound::DB00158,Folic Acid,Compound,17,1
Compound::DB00159,Icosapent,Compound,25,1
Compound::DB00160,L-Alanine,Compound,16,11
Compound::DB00161,L-Valine,Compound,5,7
Compound::DB00162,Vitamin A,Compound,104,2
Compound::DB00163,Vitamin E,Compound,26,1
Compound::DB00165,Pyridoxine,Compound,3,1
Compound::DB00166,Lipoic Acid,Compound,5,2
Compound::DB00167,L-Isoleucine,Compound,6,7
Compound::DB00168,Aspartame,Compound,10,11
Compound::DB00169,Cholecalciferol,Compound,18,7
Compound::DB00170,Menadione,Compound,524,1
Compound::DB00171,Adenosine triphosphate,Compound,44,2
Compound::DB00172,L-Proline,Compound,23,0
Compound::DB00173,Adenine,Compound,10,0
Compound::DB00174,L-Asparagine,Compound,13,6
Compound::DB00175,Pravastatin,Compound,28,0
Compound::DB00176,Fluvoxamine,Compound,24,0
Compound::DB00177,Valsartan,Compound,20,1
Compound::DB00178,Ramipril,Compound,19,2
Compound::DB00179,Masoprocol,Compound,11,1
Compound::DB00180,Flunisolide,Compound,81,21
Compound::DB00181,Baclofen,Compound,5,2
Compound::DB00182,Amphetamine,Compound,16,25
Compound::DB00183,Pentagastrin,Compound,5,2
Compound::DB00184,Nicotine,Compound,43,0
Compound::DB00185,Cevimeline,Compound,5,0
Compound::DB00186,Lorazepam,Compound,9,26
Compound::DB00187,Esmolol,Compound,23,14
Compound::DB00188,Bortezomib,Compound,518,3
Compound::DB00189,Ethchlorvynol,Compound,3,0
Compound::DB00190,Carbidopa,Compound,33,2
Compound::DB00191,Phentermine,Compound,26,7
Compound::DB00192,Indecainide,Compound,11,4
Compound::DB00193,Tramadol,Compound,36,1
Compound::DB00194,Vidarabine,Compound,24,4
Compound::DB00195,Betaxolol,Compound,16,2
Compound::DB00196,Fluconazole,Compound,24,0
Compound::DB00198,Oseltamivir,Compound,6,0
Compound::DB00199,Erythromycin,Compound,23,2
Compound::DB00200,Hydroxocobalamin,Compound,11,1
Compound::DB00201,Caffeine,Compound,32,3
Compound::DB00202,Succinylcholine,Compound,11,1
Compound::DB00203,Sildenafil,Compound,28,0
Compound::DB00204,Dofetilide,Compound,13,1
Compound::DB00205,Pyrimethamine,Compound,59,0
Compound::DB00206,Reserpine,Compound,167,4
Compound::DB00207,Azithromycin,Compound,21,5
Compound::DB00208,Ticlopidine,Compound,12,1
Compound::DB00209,Trospium,Compound,8,7
Compound::DB00210,Adapalene,Compound,10,0
Compound::DB00211,Midodrine,Compound,9,1
Compound::DB00212,Remikiren,Compound,2,0
Compound::DB00213,Pantoprazole,Compound,16,0
Compound::DB00214,Torasemide,Compound,15,0
Compound::DB00215,Citalopram,Compound,29,0
Compound::DB00216,Eletriptan,Compound,23,0
Compound::DB00217,Bethanidine,Compound,18,2
Compound::DB00218,Moxifloxacin,Compound,12,0
Compound::DB00219,Oxyphenonium,Compound,9,1
Compound::DB00220,Nelfinavir,Compound,63,2
Compound::DB00221,Isoetarine,Compound,7,7
Compound::DB00222,Glimepiride,Compound,7,5
Compound::DB00223,Diflorasone,Compound,90,15
Compound::DB00224,Indinavir,Compound,35,4
Compound::DB00225,Gadodiamide,Compound,1,4
Compound::DB00226,Guanadrel,Compound,2,0
Compound::DB00227,Lovastatin,Compound,232,1
Compound::DB00228,Enflurane,Compound,13,2
Compound::DB00229,Cefotiam,Compound,54,8
Compound::DB00230,Pregabalin,Compound,10,0
Compound::DB00231,Temazepam,Compound,51,3
Compound::DB00232,Methyclothiazide,Compound,15,0
Compound::DB00233,Aminosalicylic Acid,Compound,23,2
Compound::DB00234,Reboxetine,Compound,22,0
Compound::DB00235,Milrinone,Compound,2,0
Compound::DB00236,Pipobroman,Compound,0,0
Compound::DB00237,Butabarbital,Compound,13,7
Compound::DB00238,Nevirapine,Compound,8,0
Compound::DB00239,Oxiconazole,Compound,17,0
Compound::DB00240,Alclometasone,Compound,18,14
Compound::DB00241,Butalbital,Compound,15,8
Compound::DB00242,Cladribine,Compound,126,8
Compound::DB00243,Ranolazine,Compound,17,6
Compound::DB00244,Mesalazine,Compound,50,7
Compound::DB00245,Benzatropine,Compound,19,15
Compound::DB00246,Ziprasidone,Compound,41,1
Compound::DB00247,Methysergide,Compound,14,5
Compound::DB00248,Cabergoline,Compound,30,2
Compound::DB00249,Idoxuridine,Compound,14,2
Compound::DB00250,Dapsone,Compound,37,2
Compound::DB00251,Terconazole,Compound,5,0
Compound::DB00252,Phenytoin,Compound,49,2
Compound::DB00253,Medrysone,Compound,51,3
Compound::DB00254,Doxycycline,Compound,18,1
Compound::DB00255,Diethylstilbestrol,Compound,18,1
Compound::DB00256,Lymecycline,Compound,7,2
Compound::DB00257,Clotrimazole,Compound,32,1
Compound::DB00258,Calcium Acetate,Compound,3,1
Compound::DB00259,Sulfanilamide,Compound,27,3
Compound::DB00260,Cycloserine,Compound,5,0
Compound::DB00261,Anagrelide,Compound,54,0
Compound::DB00262,Carmustine,Compound,8,0
Compound::DB00263,Sulfisoxazole,Compound,10,11
Compound::DB00264,Metoprolol,Compound,17,11
Compound::DB00265,Crotamiton,Compound,5,2
